IdGenero;Resumo;Titulo;Autor;Editora;Ano;FlagDisponivel
2;Se passa no terceiro ano de escola de Harry Potter em Hogwarts, enquanto Sirius Black, acusado de assassinato, foge da Prisão de Azkaban. Harry encontra um novo professor que o ensina a se defender de dementadores.  Harry Potter, junto com seus dois amigos, começam a investigar o suposto assassino e acabam descobrindo muitos segredos que envolvem sua já falecida família.;Harry Potter e o prisioneiro de Azkaban;J. K. Rowling;Rocco;1999;1
9;Este romance é o único livro brasileiro da lista, e é o livro brasileiro mais vendido de todos os tempos. O Alquimista explora uma viagem de Santiago, um pastor andaluz. Sua vida muda quando uma cartomante romena responde sobre seu sonho e profetiza que encontrará um tesouro. Em busca do tesouro, a história se desenrola de várias maneiras durante sua jornada. No final, ele descobre o tesouro sob uma igreja abandonada onde toda a história começou.;O Alquimista;Paulo Coelho;Paralela;1988;1
6;Esse livro de suspense é narrado parcialmente por uma criança de 11 anos e te faz duvidar de todos os personagens. Por isso e por construir figuras complexas, C. J. Tudor tem suas obras comparadas às de Stephen King. O Homem de Giz conta a história de um grupo de amigos que se comunica através de bonecos de giz no asfalto. Um dia, um desenho misterioso surge e os guia até um assassinato. 30 anos mais tarde, a história volta à tona quando os bonecos enforcados, figuras que os levaram até a cena do crime no passado, reaparecem prevendo outro homicídio, agora de um dos jovens do grupo. Eddie, o protagonista da trama, é lançado na investigação e se vê obrigado à descobrir as respostas para esse caso macabro.;O Homem de Giz;C.J. Tudor;Planeta;2018;1
9;As Pontes de Madison é uma tocante história de amor entre o fotógrafo Robert e a professora italiana Francesca. Robert visita Madison para fotografar pontes pela cidade e se apaixonou por uma professora casada enquanto seu marido e filho estavam viajando. Enquanto isso, Robert pede que ela fuja com ele, mas ela recusa ir devido às sua obrigações, sabendo que eles nunca se encontrarão novamente.;As Pontes de Madison;Robert James Waller;Única;1992;1
9;Bruno, um menino de nove anos, vê toda a sua vida mudar diante de seus olhos quando muda-se de Berlim para uma região solitária e sem crianças por perto para brincar. E o que mais chama a sua atenção na nova casa é a vista da janela, em que é capaz de ver uma cerca com milhares de pessoas de pijamas. Um dia, enquanto passeava próximo a cerca, Bruno conhece Shmuel, um garotinho que mora do outro lado da cerca e que, coincidentemente, nasceu no mesmo dia que ele. E o leitor vai acompanhando a construção da amizade das duas crianças que tentam compreender qual o trabalho do pai de Bruno;O menino do pijama listrado;John Boyne;Seguinte;2006;1
16;“O Diário de Anne Frank”, iniciado em 1942 até 1º de agosto de 1944, traz relatos reais da adolescente e autora da obra Anne Frank. O leitor acompanha as declarações e inquietações de uma jovem de 13 anos na época da Segunda Guerra Mundial. Usando palavras simples, a menina Frank descreve sua rotina durante o período em que permanece, junto com a família e outros judeus, refugiada no porão do gabinete em que seu pai trabalhava. Desde momentos sobre o tédio, até a tensão e medo de serem descobertos, os relatos mostram como foi o angustiante confinamento para a protagonista.;O diário de Anne Frank;Anne Frank;Record;1947;1
19;Ao longo de oito décadas, Como Fazer Amigos e Influenciar Pessoas se tornou a referência quando o assunto é o desenvolvimento das relações humanas, das habilidades sociais e da comunicação eficiente e é o quarto colocado em nossa lista de Melhores Livros de Autoajuda para acelerar seu desenvolvimento pessoal. Partindo do princípio de que é preciso se interessar genuinamente por aqueles com quem interagimos, ele mudou a vida de milhões de pessoas, fazendo-as se sentirem mais seguras, abertas e confiantes em seus encontros sociais e profissionais.;Como Fazer Amigos e Influenciar Pessoas;Dale Carnegie;Editora Sextante;1936;1
24;Após uma doença, o médico André Luiz desperta em um ambiente sombrio e desconhecido. Pouco tempo depois é levado à colônia espiritual Nosso Lar, um lugar que nunca imaginou existir e que, ao mesmo tempo, é tão semelhante à Terra. É nesta região de cura, aprendizado e constante trânsito que André Luiz passa a entender que existe uma realidade à nossa espera após a morte, uma nova forma de viver que representa apenas o início da jornada.;Nosso Lar;Chico Xavier;Feb;1944;1
2;Um Pequeno Príncipe é a simples história de um príncipe de outro planeta que tem viajado planetas vizinhos para curar sua solidão. Enquanto o príncipe estava visitando o deserto do Saara, o narrador pousou seu avião perto dele. Os dois tornaram-se amigos, e o pequeno príncipe conta ao narrador histórias de suas viagens interplanetárias.;O Pequeno Príncipe;Antoine de Saint-Exupéry; HarperCollins;1943;1
6;A Paciente Silenciosa é o livro de estreia de Alex Michaelides que já virou best seller. Nesse suspense psicológico conhecemos Alicia Berenson, uma mulher que matou seu marido com 5 tiros e desde então permaneceu calada. Ela é mandada para um hospital psiquiátrico e, lá, o terapeuta forense Theo vê a oportunidade perfeita para desvendar o mistério. Ele tem certeza que é a pessoa ideal para lidar com o caso. Porém, ao longo da trama, percebemos que o caminho é um pouco mais tortuoso do que parece. Theo vê-se imerso numa história muito mais profunda do que poderia imaginar.;A Paciente Silenciosa;Alex Michaelides;Record;2019;0
